trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,0,-28.006727046105194,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,2,-56.85979127466991,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,23,12.236760403189374,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,13,-11.292613328757446,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,13,11.407146616969449,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,13,11.469455763635569,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,19.248881343585758,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,11,16.802581813732015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",30,3,7.022542720149422,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,12,-6.994807280981964,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",35,13,27.154805515725947,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,23,-2.6582710992969485,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,5,1.908472860313255,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,2,4.670264568546074,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,0,-65.54629597031864,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,5,-39.83047683615029,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,0,-89.45307585635341,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-36.2494840796923,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",25,0,-6.049712055600125,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-8.039358030327355,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,5,4.209359415876918,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-18.301317374888527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,6.215710925595542,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,-28.63688639181474,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,0,-111.11964191200738,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,0,-30.420254728258318,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,14,9.55906902846631,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,-5.4361488735379115,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,17,-33.49516155810115,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,9,7.892545326689426,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,18,10.101446407678782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",30,16,17.220637573209178,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,0,-50.81456774892235,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,2,17.939241598529016,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,19,12.254630413275407,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,9,-0.2708753876088217,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,-4.25190372119026,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,3,-15.249587767303328,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,0.07535408071926764,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,10,-6.274564116973917,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,8,-70.92444739805696,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",25,18,10.164194890110316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,17,-4.7839563774667315,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,1,-28.02071558182007,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,13,-6.482300755748078,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",35,11,-13.386485584076977,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,12,0.5648074020348002,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,15,3.7864674990658687,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,10,2.228312478740686,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,13,9.699102251405655,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,12,1.4904593433593751,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,7,20.45891974996628,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,0,-46.28787904650962,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,0,13.83071318868087,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,10,6.4339734208316655,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,16,6.920418320924346,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,8,29.23609477393468,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,7,15.341496271052335,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,0,9.26395276486678,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,10,20.877144397569772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,14,9.031320466991275,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,17,25.40503031848781,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,5,2.128967591800053,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,16,-0.780088196423832,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,3,6.38732214650811,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,13,3.003170321733946,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",35,18,5.675728009575978,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,9,13.144868141234836,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,6,33.5100205691284,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,8,5.092231584872661,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,14,12.710752640395818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,13,11.678490861849848,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,15,-35.73563728951318,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,5,-38.24757583666104,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,0,-4.2369364692018445,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,18,23.227986593004367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,1,2.9448244844385485,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
